date,station,name,latitude,longitude,datatype,value
2020-01-23T00:00:00,GHCND:CHM00050353,"HUMA, CH",51.717,126.65,PRCP,0.5
2020-01-23T00:00:00,GHCND:CHM00050353,"HUMA, CH",51.717,126.65,SNWD,130.0
2020-01-23T00:00:00,GHCND:CHM00050353,"HUMA, CH",51.717,126.65,TAVG,-19.4
2020-01-23T00:00:00,GHCND:CHM00050353,"HUMA, CH",51.717,126.65,TMAX,-14.8
2020-01-23T00:00:00,GHCND:CHM00050353,"HUMA, CH",51.717,126.65,TMIN,-32.6
2020-01-23T00:00:00,GHCND:CHM00050434,"TULIHE, CH",50.45,121.7,PRCP,0.3
2020-01-23T00:00:00,GHCND:CHM00050434,"TULIHE, CH",50.45,121.7,TAVG,-27.6
2020-01-23T00:00:00,GHCND:CHM00050434,"TULIHE, CH",50.45,121.7,TMAX,-17.0
2020-01-23T00:00:00,GHCND:CHM00050434,"TULIHE, CH",50.45,121.7,TMIN,-39.1
2020-01-23T00:00:00,GHCND:CHM00050527,"HAILAR, CH",49.25,119.7,TAVG,-24.4
2020-01-23T00:00:00,GHCND:CHM00050527,"HAILAR, CH",49.25,119.7,TMAX,-13.0
2020-01-23T00:00:00,GHCND:CHM00050527,"HAILAR, CH",49.25,119.7,TMIN,-28.2
2020-01-23T00:00:00,GHCND:CHM00050557,"NENJIANG, CH",49.167,125.23299999999999,PRCP,0.3
2020-01-23T00:00:00,GHCND:CHM00050557,"NENJIANG, CH",49.167,125.23299999999999,TAVG,-16.5
2020-01-23T00:00:00,GHCND:CHM00050557,"NENJIANG, CH",49.167,125.23299999999999,TMAX,-11.0
2020-01-23T00:00:00,GHCND:CHM00050557,"NENJIANG, CH",49.167,125.23299999999999,TMIN,-27.6
2020-01-23T00:00:00,GHCND:CHM00050564,"SUNWU, CH",49.433,127.35,PRCP,0.0
2020-01-23T00:00:00,GHCND:CHM00050564,"SUNWU, CH",49.433,127.35,TAVG,-15.6
2020-01-23T00:00:00,GHCND:CHM00050564,"SUNWU, CH",49.433,127.35,TMAX,-11.2
2020-01-23T00:00:00,GHCND:CHM00050564,"SUNWU, CH",49.433,127.35,TMIN,-25.1
2020-01-23T00:00:00,GHCND:CHM00050632,"BUGT, CH",48.766999999999996,121.917,PRCP,0.5
2020-01-23T00:00:00,GHCND:CHM00050632,"BUGT, CH",48.766999999999996,121.917,TAVG,-20.2
2020-01-23T00:00:00,GHCND:CHM00050632,"BUGT, CH",48.766999999999996,121.917,TMAX,-11.7
2020-01-23T00:00:00,GHCND:CHM00050632,"BUGT, CH",48.766999999999996,121.917,TMIN,-24.7
